"returns","datetime","v","vw","o","c","h","l","t","n","ema_fast","ema_slow","rsi","dn","mavg","up","atr","macd","signal"
3.24882787365058e-05,"2023-10-24 20:00:00",24796.2181818182,173.361474545455,173.377214545455,173.382847272727,173.436605454545,173.294018181818,1698179295272.73,58.8363636363636,172.889413339335,173.60839140237,51.0405842155663,172.086294623348,173.004222873132,173.922151122916,0.374337818676038,-0.414137851993757,-0.488704901089285
-8.96384952349743e-06,"2023-10-24 21:00:00",1679.16666666667,173.070028571429,173.182397619048,173.180845238095,173.197511904762,173.164769047619,1698182914285.71,23.6190476190476,172.915907148314,173.593121896503,49.5072641751709,172.111766829078,173.02499979679,173.938232764502,0.366896885649,-0.39011611796077,-0.468987144463582
3.83313441819322e-05,"2023-10-24 22:00:00",1366.33333333333,173.149362962963,173.149081481481,173.155718518519,173.175851851852,173.126196296296,1698186222222.22,26,172.937708181969,173.577500347289,49.3137758434559,172.118091255047,173.008329664515,173.898568073984,0.352027935941856,-0.368591645830108,-0.448908044736887
-5.3785185197412e-05,"2023-10-24 23:00:00",799.275862068965,173.094955172414,173.102403448276,173.093093103448,173.106886206897,173.091024137931,1698190096551.72,13.0689655172414,172.951834083921,173.560200088581,48.8145019716942,172.122153662049,172.991552920308,173.860952178567,0.338345385686888,-0.350521608265619,-0.429230757442634
-0.000192452549064855,"2023-10-25 08:00:00",1196.17857142857,172.570064285714,172.584285714286,172.551071428571,172.59,172.546071428571,1698222417857.14,20.6428571428571,172.915401115253,173.524159779295,44.7015945590899,172.078686577458,172.96042891804,173.842171258622,0.34828235183879,-0.350820695409759,-0.413548745036059
-5.21787528119394e-05,"2023-10-25 09:00:00",870.966666666667,172.4753,172.484,172.475,172.485,172.470333333333,1698225932000,15.4666666666667,172.87536465023,173.486689787177,44.1533704273722,172.029562500382,172.934242756054,173.838923011726,0.335542149143521,-0.352375814938288,-0.401314159016505
-3.47539996061227e-05,"2023-10-25 10:00:00",538.7,172.63773,172.642,172.636,172.644,172.634,1698230304000,14.3,172.853604227482,173.456308009064,45.6350281988347,172.009242463993,172.922547875102,173.83585328621,0.327611570612878,-0.347467202836049,-0.390544767780414
-9.64666671489123e-06,"2023-10-25 11:00:00",1026.66666666667,172.769941666667,172.77125,172.769583333333,172.777916666667,172.7625,1698233037500,31.4166666666667,172.845965964378,173.431782127788,46.8632080428642,172.005416853979,172.920077667532,173.834738481084,0.318768956139249,-0.337779013870965,-0.379991616998524
-2.26284059038824e-05,"2023-10-25 12:00:00",2263.26785714286,172.495921428571,172.507575,172.503671428571,172.541898214286,172.462976785714,1698236986071.43,68.8928571428571,172.814848279304,173.398635317101,44.7501468820969,171.967363531798,172.898943483858,173.830523435919,0.318189793828763,-0.336673375040963,-0.371327968607012
-2.8763246321961e-05,"2023-10-25 13:00:00",91998.5333333333,171.684616666667,171.689011666667,171.684073333333,171.757078333333,171.61551,1698240570000,1541.21666666667,172.712050556943,173.337400960538,39.0515173541332,171.781084310949,172.817283351583,173.853482392217,0.34533130024508,-0.360770612764227,-0.369216497438455
